标题,内容,输入示例,输出示例,难度,语言,时间限制(ms),内存限制(MB),标签,知识点,提示,示例解释
两数之和,给定两个整数a和b，计算它们的和并输出。,1 2,3,0,java,1000,256,"数组,基础算法","基础运算,输入输出","[{""step"": 1, ""content"": ""使用Scanner读取输入""}]",输入两个整数，用空格分隔，输出它们的和
求最大值,给定两个整数a和b，输出较大的那个数。,5 3,5,0,java,1000,256,"条件判断,基础算法","条件判断,比较运算","[{""step"": 1, ""content"": ""使用if-else语句比较大小""}]",比较a和b的大小，输出较大的那个数
求绝对值,给定一个整数，输出它的绝对值。,-5,5,0,java,1000,256,"基础算法,数学","条件判断,数学运算","[{""step"": 1, ""content"": ""如果是负数，乘以-1""}]",-5的绝对值是5
判断奇偶,给定一个整数，判断它是奇数还是偶数。,7,奇数,0,java,1000,256,"条件判断,数学","取模运算,条件判断","[{""step"": 1, ""content"": ""使用%2判断是否能被2整除""}]",7除以2余1，所以是奇数
求和（1到n）,给定正整数n，计算1+2+...+n的和。,100,5050,0,java,1000,256,"循环,数学","循环,累加","[{""step"": 1, ""content"": ""使用for循环从1累加到n""}, {""step"": 2, ""content"": ""或者使用公式n*(n+1)/2""}]",1+2+...+100=5050
字符串长度,给定一个字符串，输出它的长度。,hello,5,0,java,1000,256,"字符串,基础算法",字符串操作,"[{""step"": 1, ""content"": ""使用String的length()方法""}]","""hello""的长度是5"
字符串反转,给定一个字符串，输出其反转后的结果。,hello,olleh,1,java,1000,256,"字符串,基础算法","字符串操作,循环","[{""step"": 1, ""content"": ""从后往前遍历字符串""}]","""hello""反转后是""olleh"""
统计字符个数,给定一个字符串和一个字符，统计该字符在字符串中出现的次数。,"programming
m",2,1,java,1000,256,"字符串,循环","字符串遍历,计数","[{""step"": 1, ""content"": ""遍历字符串，逐个比较""}]","""programming""中有2个'm'"
数组求和,给定n个整数，求它们的和。,"5
1 2 3 4 5",15,0,java,1000,256,"数组,循环","数组操作,累加","[{""step"": 1, ""content"": ""先读取n，再读取n个整数""}]",1+2+3+4+5=15
找数组最大值,给定n个整数，找出其中的最大值。,"5
3 1 4 2 5",5,0,java,1000,256,"数组,循环","数组遍历,比较","[{""step"": 1, ""content"": ""假设第一个数是最大值，然后逐个比较""}]",最大值是5
冒泡排序,输入n个整数，用冒泡排序算法将其从小到大排序后输出。,"5
3 1 4 2 5",1 2 3 4 5,2,java,1000,256,"排序,数组","冒泡排序,双重循环","[{""step"": 1, ""content"": ""外层循环控制轮数""}, {""step"": 2, ""content"": ""内层循环两两比较交换""}]",排序后结果是1 2 3 4 5
